ID,Stop name,Short name,Code,Authority name,Authority short name,Latitude,Longitude,Country name,Country code,Timezone,Service station
3826,Raststätte Bad Honnef,,RS BHN,Raststätte Bad Honnef,,50.674442,7.295723,Germany,DE,Europe/Berlin,Yes
3848,Raststätte Eisenach (Autohof Eisenach A4 / Ausfahrt zw. 38 u. 39),,RS EA,Raststätte Eisenach (Autohof Eisenach A4 / Ausfahrt zw. 38 u. 39),,51.007675,10.252395,Germany,DE,Europe/Berlin,Yes
3849,Raststätte Teufelstal Süd,,RS TTS,Raststätte Teufelstal Süd,,50.875995,11.809638,Germany,DE,Europe/Berlin,Yes
3850,Raststätte Pforzheim (Nord + Ost),,RS PF,Raststätte Pforzheim (Nord + Ost),,48.908654,8.773633,Germany,DE,Europe/Berlin,Yes
3858,Raststätte Rimberg,,RA RIM,Raststätte Rimberg,,50.79276,9.473308,Germany,DE,Europe/Berlin,Yes
3859,Raststätte Eichelborn,,RA EICH,Raststätte Eichelborn,,50.948632,11.19701,Germany,DE,Europe/Berlin,Yes
3917,Rasthof Lappwald Nord,,RS-LAP,Rasthof Lappwald Nord,,52.218798,11.059963,Germany,DE,Europe/Berlin,Yes
3943,Relais de Castets,,Relais de Castets,Relais de Castets,,43.87322,-1.13333,France,FR,Europe/Paris,Yes
3946,Aire de Service de la Corrèze,Aire de Service de la Corrèz,opCOR,Aire de Service de la Corrèze,Aire de Service de la Corrèz,45.360091,1.937835,France,FR,Europe/Paris,Yes
4053,Area di Servizio Cantagallo,,Area di Servizio Cantagallo,Area di Servizio Cantagallo,,44.456511,11.280794,Italy,IT,Europe/Rome,Yes
4055,Area di Servizio Roncobilaccio,,Area di Servizio Roncobilaccio,Area di Servizio Roncobilaccio,,44.116899,11.231811,Italy,IT,Europe/Rome,Yes
4059,Area di Servizio Montelpuciano Ovest,,Area di Servizio Montepulciano Ovest,Area di Servizio Montelpuciano Ovest,,43.136001,11.8637,Italy,IT,Europe/Rome,Yes
4067,Area di Servizio Mirabella Sud,,Area di Servizio Mirabella Sud,Area di Servizio Mirabella Sud,,41.060236,15.013927,Italy,IT,Europe/Rome,Yes
4068,Area di Servizio Mirabella,,Area di Servizio Mirabella,Area di Servizio Mirabella,,41.060793,15.014251,Italy,IT,Europe/Rome,Yes
4155,Autohof Bruchsal,,AH Bruchsal,Autohof Bruchsal,,49.148431,8.555211,Germany,DE,Europe/Berlin,Yes
4216,Raststätte Barchon,Raststätte Barchon,RSB,Raststätte Barchon,Raststätte Barchon,50.655317,5.709667,Belgium,BE,Europe/Brussels,Yes
4219,Aire de Spy (Sud),,RS Aire de Spy (Sud),Aire de Spy,,50.493949,4.701132,Belgium,BE,Europe/Brussels,Yes
4231,Parkplatz Héron,RS Héron,RSH,Parkplatz Héron,RS Héron,50.538907,5.123438,Belgium,BE,Europe/Brussels,Yes
4424,Raststätte A15 Shell Molenkamp,,RS A15 Molenkamp,Raststätte A15 Shell Molenkamp,,51.847989,5.192522,Netherlands,NL,Europe/Amsterdam,Yes
4426,Area di Servizio San Giacomo,,Area di Servizio San Giacomo,Area di Servizio San Giacomo,,45.485013,10.308053,Italy,IT,Europe/Rome,Yes
4427,Area di Servizio Alento,,Area di Servizio Alento,Area di Servizio Alento,,42.387359,14.288729,Italy,IT,Europe/Rome,Yes
4428,Area di Servizio Sillaro,,Area di Servizio Sillaro,Area di Servizio Sillaro,,44.42844,11.599359,Italy,IT,Europe/Rome,Yes
4429,Area di Servizio San Zenone,,Area di Servizio San Zenone,Area di Servizio San Zenone,,45.328764,9.364904,Italy,IT,Europe/Rome,Yes
4430,Area di Servizio Tortoreto,,Area di Servizio Tortoreto,Area di Servizio Tortoreto,,42.804638,13.928198,Italy,IT,Europe/Rome,Yes
4431,Area di Servizio Bevano,,Area di Servizio Bevano,Area di Servizio Bevano,,44.217406,12.176504,Italy,IT,Europe/Rome,Yes
4432,Area di Servizio Montefeltro,,Area di Servizio MOntefeltro,Area di Servizio Montefeltro,,43.994608,12.619321,Italy,IT,Europe/Rome,Yes
4442,Area di Servizio Po,,ads Po,Area di Servizio Po,,45.066519,10.843282,Italy,IT,Europe/Rome,Yes
4443,Area di Servizio Tirreno,,Area di Servizio Tirreno,Area di Servizio Tirreno,,42.030144,11.962675,Italy,IT,Europe/Rome,Yes
4444,Area di Servizio Montepulciano,,Area di Servizio Montepulciano,Area di Servizio Montepulciano,,43.135867,11.864599,Italy,IT,Europe/Rome,Yes
4447,Area di Servizio Chianti,,Area di Servizio Chianti,Area di Servizio Chianti,,43.729539,11.332922,Italy,IT,Europe/Rome,Yes
4448,Area di Servizio Sestri Levante,,Area di Servizio Sestri Levante,Area di Servizio Sestri Levante,,44.279175,9.415469,Italy,IT,Europe/Rome,Yes
4467,Area di Servizio Tevere,,Area di Servizio Tevere,Area di Servizio Tevere,,42.625354,12.230829,Italy,IT,Europe/Rome,Yes
4469,Area di Servizio Civita,,asCIV,Area di Servizio Civita,,42.066533,13.036752,Italy,IT,Europe/Rome,Yes
4470,Area di Servizio Arda,,ads Arda,Area di Servizio Arda,,44.962693,9.905218,Italy,IT,Europe/Rome,Yes
4471,Area di Servizio Ofanto,,Area di Servizio Ofanto,Area di Servizio Ofanto,,41.191924,15.812301,Italy,IT,Europe/Rome,Yes
4472,Area di Servizio Fabro,,Area di Servizio Fabro,Area di Servizio Fabro,,42.876231,12.018114,Italy,IT,Europe/Rome,Yes
4475,Area di Servizio Prenestina,,Area di Servizio Prenestina,Area di Servizio Prenestina,,41.891559,12.758151,Italy,IT,Europe/Rome,Yes
4477,Area di Servizio Garda,Area di Servizio Garda,ads Garda,Area di Servizio Garda,Area di Servizio Garda,45.540018,10.779948,Italy,IT,Europe/Rome,Yes
4480,Area di Servizio Melara,,Area di Servizio Melara,Area di Servizio Melara,,44.115959,9.879208,Italy,IT,Europe/Rome,Yes
4485,Area di Servizio Bordighera Nord,,Area di Servizio Bordighera,Area di Servizio Bordighera,,43.79911,7.691488,Italy,IT,Europe/Rome,Yes
4486,Area di Servizio Laimburg,Area di Servizio Laimburg,Area di Servizio Laimburg,Area di Servizio Laimburg,Area di Servizio Laimburg,46.386673,11.293507,Italy,IT,Europe/Rome,Yes
4487,Area di Servizio Aglio (northbound),,ads Aglio,Area di Servizio Aglio,,44.029652,11.225662,Italy,IT,Europe/Rome,Yes
4540,Area di Servizio Flaminia,,Area di Servizio Flaminia,Area di Servizio Flaminia,,42.316624,12.492136,Italy,IT,Europe/Rome,Yes
4579,Parkeerplaats De Mussels (Beilen),,De Mussels,Parkeerplaats De Mussels (Beilen),,52.845072,6.486059,Netherlands,NL,Europe/Amsterdam,Yes
4582,Area di Servizio Stura,,Area di Servizio Stura,Area di Servizio Stura,,44.592761,8.66562,Italy,IT,Europe/Rome,Yes
4583,Area di Servizio Versilia,,Area di Servizio Versilia,Area di Servizio Versilia,,43.928523,10.223566,Italy,IT,Europe/Rome,Yes
4585,Aarhus Havn Ferry Departure Point,Aarhus ferry departure,Aarhus Havn Ferry Departure Point,Aarhus Havn Ferry Departure Point,Aarhus ferry departure,56.160433,10.223725,Denmark,DK,Europe/Copenhagen,Yes
4592,Area di Servizio Trigno,,Area di Servizio Trigno,Area di Servizio Trigno,,42.047103,14.813812,Italy,IT,Europe/Rome,Yes
4630,Raststätte Vojens (Statoil Servicestation),Raststätte Vojens,RS Vojens,Raststätte Vojens (Statoil Servicestation),Raststätte Vojens,55.216449,9.373873,Denmark,DK,Europe/Copenhagen,Yes
4636,Autogrill Chianti,Autogrill Chianti,AutC,Autogrill Chianti,Autogrill Chianti,43.729445,11.333594,Italy,IT,Europe/Rome,Yes
4640,Aire de Valmy,Aire de Valmy,opVMY,Aire de Valmy,Aire de Valmy,49.073002,4.789853,France,FR,Europe/Paris,Yes
4683,Raststätte Cloerbruch,,RCL,Raststätte Cloerbruch,,51.237182,6.51334,Germany,DE,Europe/Berlin,Yes
4803,Aire de Saint-Rambert d'Albon E,Aire de Saint-Rambert d'Albon,opSRA,Aire de Saint-Rambert d'Albon,Aire de Saint-Rambert d'Albon,45.27667875,4.827607364,France,FR,Europe/Paris,Yes
4806,Aire de Portes-lès-Valence Ouest,Aire de Portes-lès-Valence Ouest,opPVO,Aire de Portes-lès-Valence Ouest,Aire de Portes-lès-Valence Ouest,44.86636611,4.864619996,France,FR,Europe/Paris,Yes
4831,Aire de Service des Corbières Sud,Aire des Corbières,opCBS,Aire de Service des Corbières Sud,Aire des Corbières,43.177094,2.541814,France,FR,Europe/Paris,Yes
4839,Raststätte Auetal Süd,,RS Auetal S,Raststätte Auetal Süd,,52.226194,9.231439,Germany,DE,Europe/Berlin,Yes
4860,Staf Cars Betriebshof Lommel,,Staf,Staf Cars Betriebshof Lommel,,51.219025,5.365083,Belgium,BE,Europe/Brussels,Yes
4861,Raststätte Nivelles,,RS Nivelles,Raststätte Nivelles,,50.615395,4.300052,Belgium,BE,Europe/Brussels,Yes
4862,Raststätte Assevillers,,RS Assevillers,Raststätte Assevillers,,49.887129,2.838764,France,FR,Europe/Paris,Yes
4867,Aire de service de l'Allier-Doyet,Aire de service de l'Allier-Doyet,opALD,Aire de service de l'Allier-Doyet,Aire de service de l'Allier-Doyet,46.354878,2.804066,France,FR,Europe/Paris,Yes
4873,Aire de Royans-Vercors Est,Aire de Royans-Vercors Est,opRYVE,Aire de Royans-Vercors Est,Aire de Royans-Vercors Est,45.074106,5.21184,France,FR,Europe/Paris,Yes
4881,Aire de Saugon Ouest,Aire de Saugon Ouest,opSGNO,Aire de Saugon Ouest,Aire de Saugon Ouest,45.189006,-0.493174,France,FR,Europe/Paris,Yes
4883,Aire du Bosgouet,Aire du Bosgouet,opBGT,Aire du Bosgouet,Aire du Bosgouet,49.360288,0.860807,France,FR,Europe/Paris,Yes
4898,Aire de la Ferté,AdS la Ferté,opFRT,Aire de la Ferté,AdS la Ferté ,46.69192721,4.843117369,France,FR,Europe/Paris,Yes
4899,Aire de Mornas-Village,Aire de Mornas-Village,opMVG,Aire de Mornas-Village,Aire de Mornas-Village,44.195906,4.731833,France,FR,Europe/Paris,Yes
4900,Aire de Mornas-les-Adrets,Aire de Mornas-les-Adrets,opMLA,Aire de Mornas-les-Adrets,Aire de Mornas-les-Adrets,44.215848,4.722308,France,FR,Europe/Paris,Yes
4901,Aire de service de Montélimar Ouest,Aire de service de Montélimar Ouest,opMTL Ouest,Aire de service de Montélimar Ouest,Aire de service de Montélimar Ouest,44.51665,4.783052,France,FR,Europe/Paris,Yes
4911,Aire de la Coucourde,Aire de la Coucourde,opCCD,Aire de la Coucourde,Aire de la Coucourde,44.646706,4.791717,France,FR,Europe/Paris,Yes
4912,Aire du Logis Neuf,Aire du Logis Neuf,opLGN,Aire du Logis Neuf,Aire du Logis Neuf,44.643014,4.792355,France,FR,Europe/Paris,Yes
4913,Area di Servizio San Trifone,,Area di Servizio San Trifone,Area di Servizio San Trifone,,41.780841,15.385033,Italy,IT,Europe/Rome,Yes
4916,Area di Servizio Bisenzio,,Area di Servizio Bisenzio,Area di Servizio Bisenzio,,43.835526,11.159923,Italy,IT,Europe/Rome,Yes
4919,Aire de la Corrèze,Aire de la Corrèze,opCRZ,Aire de la Corrèze,Aire de la Corrèze,45.359605,1.93621,France,FR,Europe/Paris,Yes
4920,Area di Servizio Arno,,Area di Servizio Arno,Area di Servizio Arno,,43.583371,11.522323,Italy,IT,Europe/Rome,Yes
4924,Chamboret,Aire,opCHM,Chamboret,Aire,46.005128,1.141347,France,FR,Europe/Paris,Yes
4927,Area di Servizio Paganella,,Area di servizio Paganella,Area di Servizio Paganella,,46.141166,11.086008,Italy,IT,Europe/Rome,Yes
4930,Area di Servizio Badia al pino,,Area di Servizio Badia al pino,Area di Servizio Badia al pino,,43.406657,11.763342,Italy,IT,Europe/Rome,Yes
4935,Raststätte Göttingen West,,GÖTW,Raststätte Göttingen West,,51.497213,9.87666,Germany,DE,Europe/Berlin,Yes
4941,Area di Servizio Chienti,,Area di Servizio Chienti,Area di Servizio Chienti,,43.285757,13.722851,Italy,IT,Europe/Rome,Yes
4961,Relais de Comminges Sud,,opRdC,Relais de Comminges,,43.11071942,0.618251215,France,FR,Europe/Paris,Yes
4965,Aire des Marlhes,Aire des Marlhes,opMRL,Aire des Marlhes,Aire des Marlhes,44.998854,5.000424,France,FR,Europe/Paris,Yes
4975,Aire de Romorantin,Aire de Romorantin,opRRT,Aire de Romorantin,Aire de Romorantin,47.338866,1.665757,France,FR,Europe/Paris,Yes
4976,Aire de Fenioux,Aire de Fenioux,opFNX,Aire de Fenioux,Aire de Fenioux,45.893054,-0.603137,France,FR,Europe/Paris,Yes
4990,Aire Béziers Montblanc Sud,,opBMB,Aire de Service Béziers Montblanc,,43.35911082,3.343992719,France,FR,Europe/Paris,Yes
4992,Aire de l'Aubrac,Aire de l'Aubrac,opABC,Aire de l'Aubrac,Aire de l'Aubrac,44.744738,3.288217,France,FR,Europe/Paris,Yes
4994,Aire de service du Centre de la France Bruère-Allichamps,Aire de service du Centre de la France Bruère-Allichamps,opCFR Nord,Aire de service du Centre de la France Bruère-Allichamps,Aire de service du Centre de la France Bruère-Allichamps,46.752218,2.419527,France,FR,Europe/Paris,Yes
4995,Aire de Pelousey / Aire du Bois de la Frachère,Aire de Pelousey / Aire du Bois de la Frachère,opPBF,Aire de Pelousey / Aire du Bois de la Frachère,Aire de Pelousey / Aire du Bois de la Frachère,47.270908,5.929348,France,FR,Europe/Paris,Yes
4996,Aire de service de Dole-Romange,Aire de service de Dole-Romange,opDOL-ROM,Aire de service de Dole-Romange,Aire de service de Dole-Romange,47.149197,5.583233,France,FR,Europe/Paris,Yes
4999,Aire de Val-de-Meuse,Aire de Val-de-Meuse,opMVM,Aire de Val-de-Meuse,Aire de Val-de-Meuse,47.975318,5.499331,France,FR,Europe/Paris,Yes
5000,Aire de Beaune Tailly,Aire de Beaune Tailly,opBNE,Aire de Beaune Tailly,Aire de Beaune Tailly,46.96138,4.835742,France,FR,Europe/Paris,Yes
5001,Aire de repos de Cahagne,Aire de repos de Cahagne,opCAH,Aire de repos de Cahagne,Aire de repos de Cahagne,49.04731,-0.774969,France,FR,Europe/Paris,Yes
5002,Aire Villaines-la-Gonais,Aire Villaines-la-Gonais,opVIL,Aire Villaines-la-Gonais,Aire Villaines-la-Gonais,48.125062,0.623378,France,FR,Europe/Paris,Yes
5003,Aire de la Ferté Bernard (Nord),Aire de la Ferté Bernard,opBER,Aire de la Ferté Bernard,Aire de la Ferté Bernard,48.126687,0.622122,France,FR,Europe/Paris,Yes
5004,Aire de Repos de Saint-Jean-des-Essartiers,Aire de Repos de Saint-Jean-des-Essartiers,opESS,Aire de Repos de Saint-Jean-des-Essartiers,Aire de Repos de Saint-Jean-des-Essartiers,49.047835,-0.782117,France,FR,Europe/Paris,Yes
5005,Aire de la Vire Gouvets,Aire de la Vire Gouvets,opVIV,Aire de la Vire Gouvets,Aire de la Vire Gouvets,48.908167,-1.105136,France,FR,Europe/Paris,Yes
